vassdragNr,vatnLnr,"Land principally occupied by agriculture, with significant areas of natural vegetation",Broad-leaved forest,Moors and heathland,Sparsely vegetated areas,Peat bogs,Water bodies,Discontinuous urban fabric,Non-irrigated arable land,Coniferous forest,Transitional woodland-shrub,Complex cultivation patterns,Water courses,Mixed forest,Industrial or commercial units,Green urban areas,Sport and leisure facilities,Continuous urban fabric,Road and rail networks and associated land,Airports,Pastures,Bare rocks,Mineral extraction sites,Inland marshes,Glaciers and perpetual snow,Sea and ocean,Port areas,Natural grasslands,Intertidal flats,mean_ndsi,fractional_snow_cover,mean_ndvi,total_road_length,road_density,total_ditch_length,ditch_density,unbuilt,res_built,nres_built,total_population,population_density,gHM
012.CDCB1,589,0,0,45.10577810037956,35.435537610831354,13.510965940308589,0.4460977785842823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.501620569896213,0,0,0,0,0,0,0,0.6793620560747454,0.9953423117443236,0.5924389843189725,165.64509580386226,8.995522317351996e-6,0,0,1.000101,0,0,1.3896000000000002,0.0760845643174488,0.11574757541646448
012.CA6,521,0,0,0,0,0,0.4992083951558757,0,0,72.63844795716216,23.327268507389693,0,3.5350751402922724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22457757192089028,0.10078966303555242,0.7690370966879276,11315.343205623183,0.0014520652245018,911.922104113792,1.1702432270725124e-4,0.99919500000000006,7.66e-4,7.7e-5,0,0,0.2658402610124512
012.CDCA1,589,0.03767819722729759,24.548377772960475,40.66200076388674,21.705480371207663,12.882846613607509,0.1636162811103197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6316176042805105,0.9583828838089572,0.7222188882863302,2501.5559176766033,3.7032151251567e-4,109.50722557776793,1.6211063330944612e-5,0.999906,0,7.3e-5,4.8636,0.7258871024314132,0.17267047700888746
012.CB8Z,521,0,3.607701414418344,50.128833388922885,10.5194386309574,0.5382413417731726,0.916311443263828,0,0,26.151895115326955,4.16078700157239,0,0,0,0,0,3.1704375936928453,0,0,0,0.8063540700721686,0,0,0,0,0,0,0,0,0.4572998821773532,0.6824455665741765,0.7235751050813899,64550.966686880114,0.00118125304327452,7221.569192845967,1.3215139949252915e-4,0.997279,0.001584,0.001113,76.91323199999995,1.417549277197571,0.08769268369940095
012.CDCC,589,0,0,22.2316721716495,17.29559178449282,6.062080590717888,0.6013421097027588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.80931334343704,0,0,0,0,0,0,0,0.6530876897197408,0.9940971246661768,0.3852458592769643,15242.06989314278,2.1198249839409083e-4,0,0,0.999915,7.4e-5,1.2e-5,9.946453,0.1394791480581414,0.12295488633626246
012.CB4Z,521,0,4.1238830324022215,51.25669387504238,2.1069473550643463,0,0.00753401707842713,0,0,34.06842870143285,4.337016410278779,0,0,4.0994966087009965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4099884685735029,0.5431953251363979,0.7566356576608162,18981.8780266759,3.7580376171230013e-4,521.8926814688381,1.0332446169471816e-5,0.999728,1.88e-4,6.6e-5,3.453331070588235,0.06885489058175709,0.14708403336411402
012.CC10,521,7.137908379621334,0,5.817555595373191,11.22240140158076,0,0,0,0,67.86258934081904,5.1245296541838385,0,2.8350156284218277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3309718127794168,0.3844471162925371,0.6959960707818005,31794.290111826787,9.8609715180522e-4,7236.027241421728,2.2442475765473136e-4,0.997947,0.001766,2.78e-4,51.27548799999998,1.601617254866096,0.20413576278557624
012.CB71,521,9.38033053258725,0,0,0,0,0.6953212651540996,0,0,85.64304028080146,4.281307921457185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18738303572272508,0.06020798559588502,0.7352751444757244,7710.575622054919,0.0026783728736226,755.1274528480103,2.6230374812105537e-4,0.986077,0.012428,0.001221,0,0,0.2327919371920123
012.CDCD,589,0,0,20.26343577046315,28.249890766093795,2.3592703175065544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1274031459365,0,0,0,0,0,0,0,0.6497830778319095,0.9945346984716472,0.36240962877659483,837.3111409981732,1.520345178737179e-5,0,0,0.999993,0,0,0,0,0.12716516383807686
012.CB23,521,29.701625297240536,0,0,0,0,5.369062516725754,0,0,64.67750198160358,0,0,0,0,0,0,0.25181020443012647,0,0,0,0,0,0,0,0,0,0,0,0,0.2972181633536866,0.30713452201041486,0.7301831014941699,14232.902024099763,0.00388647084008151,2776.81878069359,7.582448892771713e-4,0.982375,0.01535,0.002125,73.32082609411762,20.16259744014837,0.4112993884408796
